theta
0.87646025
0.54006857
0.7782108
0.79955745
0.65841191
0.60579176
0.60285692
0.78330472
0.70100174
0.64748501
0.61341857
0.62962497
0.71249165
0.62083001
0.59539487
0.71699197
0.72249964
0.73415199
0.43967832
0.90564769
0.86112544
0.84822124
0.8546122
0.71813236
0.71541243
0.78359238
0.66849145
0.66948838
0.65573388
0.79989497
0.79089543
0.79483485
0.95194079
0.93578234
0.89518314
0.79495486
0.71907792
0.86674122
0.7707465
0.76033209
0.75704561
0.7630594
0.76658984
0.72884179
0.82652415
0.83652932
0.56101482
0.59900016
0.61592428
0.59350311
0.60236141
0.83712216
0.67904246
0.57482486
0.77879629
0.8435522
0.89266981
0.82444564
0.87703816
0.61207091
0.88918847
0.88400113
0.92275223
0.93019815
0.93508701
0.94123118
0.80064024
0.76226233
0.69548653
0.93121612
0.93792543
0.77175434
0.71423012
0.82877554
0.65340387
0.63632414
0.61958268
0.78223919
0.78802096
0.83027776
0.68682196
0.79603393
0.85371265
0.89077253
0.89421527
0.9604662
0.98466565
0.98582739
0.98636939
0.99068529
0.99116806
0.99152672
0.77557965
0.70145979
0.7620999
0.62747732
0.72754407
0.79504873
0.73913085
0.68400368
0.69372562
0.74353554
0.76505951
0.76296809
0.78936797
0.71608986
0.84480535
0.72309389
0.72184339
0.74899678
0.61938876
0.84602089
0.7227905
0.74581024
0.58873013
0.62332051
0.69882386
0.79395457
0.88382129
0.79733541
0.74677885
0.55711306
0.53113084
0.8628678
0.86382952
0.91834795
0.65892127
0.78992865
0.75813635
0.74280495
0.72524689
0.79677823
0.82694734
0.67996716
0.68787655
0.64887506
0.78781985
0.70026169
0.78281259
0.75876004
0.75954666
0.62247256
0.90497886
0.82574434
0.97446789
0.96141479
0.82131541
0.74486161
0.79214311
0.91157283
0.62204584
0.64913342
0.86870053
0.86964577
0.55230824
0.77833821
0.83008654
0.62868032
0.50377188
0.89264529
0.5529722
0.54687629
0.51162694
0.89072497
0.74323647
0.61298419
0.59347896
0.55711079
0.88354447
0.86549389
0.95888806
0.91533133
0.90740451
0.5803184
0.75068117
0.66413765
0.61735645
0.830467
0.82460277
0.73467347
0.69182986
0.7894929
0.74770429
0.79612226
0.70886461
0.72330963
0.8291414
0.77092008
0.74646791
0.77554698
0.8539444
0.84363686
0.85240129
0.84406754
0.85530192
0.72663824
0.63799106
0.71082984
0.76670008
0.68055203
0.5676267
0.58143764
0.86066283
0.53836707
0.53670465
0.52361838
0.72281183
0.70071945
0.86706695
0.806648
0.80006589
0.85097873
0.81714234
0.67355483
0.72868057
0.65652337
0.68813957
0.69695081
0.7798947
0.76692293
0.73848792
0.73848792
0.98486277
0.92845724
0.95119013
0.92189026
