theta,p_forced,q,y_rep
0.64057166,0.51049632,0.82405851,77.0
0.64319437,0.45659042,0.8061084,80.0
0.64298445,0.45279475,0.80463922,79.0
0.65784836,0.40305487,0.79575424,86.0
0.64575159,0.48023164,0.81587288,80.0
0.69800794,0.47924827,0.84273711,84.0
0.62140069,0.6145052,0.85405194,83.0
0.60477275,0.52337466,0.81162468,81.0
0.50039407,0.4954663,0.74793197,75.0
0.51154822,0.51191644,0.76159471,77.0
0.50284078,0.56494151,0.78370666,75.0
0.4574314,0.55349696,0.75774147,78.0
0.55868065,0.62365475,0.83391156,89.0
0.55266966,0.60886906,0.82503526,81.0
0.60758691,0.55127303,0.82391366,76.0
0.67272929,0.52115731,0.84328881,87.0
0.46828808,0.54485504,0.757994,77.0
0.63566778,0.55191941,0.8367498,77.0
0.63701459,0.37643656,0.77365557,77.0
0.63718662,0.38640364,0.77737903,80.0
0.59737271,0.57452563,0.82869241,92.0
0.59164274,0.4512479,0.77591309,75.0
0.69256298,0.45586728,0.83271345,81.0
0.68894539,0.35722446,0.80006171,81.0
0.7383263,0.34771387,0.82931388,82.0
0.67223973,0.52375664,0.84390635,85.0
0.70114144,0.47901071,0.84429789,82.0
0.70789599,0.37941186,0.81872371,83.0
0.70402312,0.38503961,0.81798594,86.0
0.49046342,0.60144714,0.79692274,82.0
0.60837375,0.48267214,0.79740083,78.0
0.59722134,0.47814901,0.78980956,81.0
0.65108778,0.48791703,0.82132799,83.0
0.6561176,0.48947616,0.82443984,78.0
0.72325435,0.41765422,0.83883834,85.0
0.68723295,0.4102084,0.81553262,80.0
0.70223823,0.42593782,0.82906623,81.0
0.6333274,0.43524497,0.79291981,77.0
0.60481412,0.49952759,0.80222037,86.0
0.61908392,0.50982344,0.81328386,82.0
0.6558273,0.55912663,0.84826342,81.0
0.532074,0.44743162,0.74143889,68.0
0.72653461,0.49205878,0.86109566,84.0
0.72617801,0.48804892,0.85981654,88.0
0.66494132,0.51585947,0.83778451,83.0
0.50614793,0.50110236,0.75361837,82.0
0.55358707,0.55584057,0.80172149,75.0
0.54372605,0.54069165,0.79042957,76.0
0.5968792,0.3690399,0.74564686,72.0
0.46222545,0.59887741,0.78428648,75.0
0.558989,0.55559329,0.80401175,80.0
0.7109752,0.50212073,0.85610054,92.0
0.62988932,0.54394384,0.83120874,80.0
0.64297376,0.46535063,0.80911615,85.0
0.65938123,0.48221211,0.82363172,93.0
0.44551855,0.60820923,0.78275929,72.0
0.52914892,0.57387299,0.79935764,77.0
0.5503957,0.56690708,0.80527956,76.0
0.53305008,0.44181758,0.73935676,71.0
0.53305008,0.44181758,0.73935676,69.0
0.56855567,0.48262653,0.77678215,79.0
0.80717689,0.46168691,0.89620079,86.0
0.62960073,0.51721839,0.82117805,79.0
0.57342985,0.4338147,0.75848225,78.0
0.5756521,0.56987407,0.81747696,84.0
0.55644183,0.61878248,0.83090786,83.0
0.52628223,0.52051424,0.77285907,80.0
0.56625666,0.5395327,0.80027538,82.0
0.4948604,0.51125512,0.75311561,83.0
0.57085566,0.58115408,0.82025464,85.0
0.50157903,0.51414687,0.75784061,75.0
0.55956955,0.49091291,0.77578254,74.0
0.57874835,0.49636388,0.78784245,88.0
0.39088018,0.61268183,0.76407683,75.0
0.49323272,0.57394693,0.78409024,79.0
0.45007928,0.62465108,0.79358786,76.0
0.5695142,0.5318156,0.79845327,81.0
0.70144866,0.38540671,0.81651235,82.0
0.73577667,0.40479099,0.84273189,81.0
0.42685027,0.64800589,0.79825467,83.0
0.52727037,0.69600239,0.85629132,91.0
0.42831815,0.65885324,0.80497259,80.0
0.38725478,0.55385376,0.72662602,74.0
0.36994515,0.59126166,0.74247243,67.0
0.42700715,0.5813082,0.76009259,79.0
0.49781679,0.59731193,0.79777681,76.0
0.61906213,0.51911388,0.81681226,82.0
0.6088257,0.5213141,0.81275038,82.0
0.54806648,0.46929711,0.76015758,77.0
0.54741994,0.64181438,0.83789233,85.0
0.58468031,0.45500562,0.7736531,81.0
0.57757318,0.44941263,0.76741713,83.0
0.50776998,0.53626237,0.77173442,83.0
0.57959706,0.55948678,0.81480695,80.0
0.64500976,0.55475267,0.84194154,85.0
0.56398785,0.65849345,0.851099,86.0
0.57152719,0.59039633,0.82449597,77.0
0.55124515,0.41935,0.7394305,71.0
0.67610683,0.45478673,0.82340914,90.0
0.5807258,0.45330348,0.77078426,74.0
0.57512775,0.50743916,0.79072457,80.0
0.58381298,0.51280189,0.79723447,78.0
0.40270884,0.61880862,0.77231776,77.0
0.38302105,0.50668692,0.69563621,68.0
0.51083493,0.47822956,0.74476813,74.0
0.49328547,0.55212911,0.77305731,77.0
0.51520437,0.52408441,0.7692782,75.0
0.30558044,0.65187108,0.75825247,74.0
0.39570935,0.6158553,0.76786495,71.0
0.75009487,0.31112544,0.82784671,85.0
0.74808265,0.28858928,0.8207833,77.0
0.74786736,0.27750938,0.81783654,82.0
0.64454004,0.46646273,0.81034886,81.0
0.42040763,0.55964318,0.74477255,76.0
