theta,q,y_rep
0.64275043,0.82137521,82.0
0.65245294,0.82622647,85.0
0.67068962,0.83534481,77.0
0.51221569,0.75610784,72.0
0.49989342,0.74994671,79.0
0.5301314,0.7650657,72.0
0.36324229,0.68162115,70.0
0.36287061,0.68143531,64.0
0.3642995,0.68214975,69.0
0.36710914,0.68355457,67.0
0.57200132,0.78600066,82.0
0.6745892,0.8372946,87.0
0.60203192,0.80101596,85.0
0.6013155,0.80065775,78.0
0.59365489,0.79682745,76.0
0.59365489,0.79682745,83.0
0.5290793,0.76453965,83.0
0.52604051,0.76302026,73.0
0.61316194,0.80658097,84.0
0.70754811,0.85377405,87.0
0.46829744,0.73414872,73.0
0.4135565,0.70677825,59.0
0.54368116,0.77184058,71.0
0.53019,0.765095,76.0
0.52581616,0.76290808,77.0
0.5198015,0.75990075,80.0
0.62633415,0.81316708,84.0
0.63313152,0.81656576,76.0
0.55738891,0.77869446,72.0
0.5509681,0.77548405,82.0
0.38340017,0.69170008,80.0
0.35214762,0.67607381,64.0
0.64122539,0.8206127,89.0
0.63667449,0.81833724,83.0
0.65254913,0.82627456,81.0
0.65257068,0.82628534,80.0
0.59714039,0.7985702,78.0
0.61850329,0.80925165,82.0
0.51009464,0.75504732,78.0
0.46864436,0.73432218,72.0
0.65422104,0.82711052,85.0
0.65307729,0.82653864,84.0
0.64121732,0.82060866,78.0
0.58152442,0.79076221,67.0
0.45425359,0.7271268,73.0
0.71260064,0.85630032,87.0
0.73510299,0.8675515,87.0
0.5392716,0.7696358,73.0
0.53278695,0.76639348,79.0
0.59640674,0.79820337,80.0
0.57704164,0.78852082,81.0
0.57817836,0.78908918,84.0
0.42772147,0.71386074,76.0
0.39209838,0.69604919,69.0
0.41771265,0.70885632,70.0
0.73073719,0.8653686,87.0
0.48871436,0.74435718,73.0
0.66042938,0.83021469,83.0
0.53180429,0.76590214,76.0
0.55235223,0.77617611,80.0
0.59742121,0.7987106,82.0
0.53960452,0.76980226,80.0
0.55634276,0.77817138,80.0
0.6333005,0.81665025,71.0
0.64696146,0.82348073,81.0
0.49184702,0.74592351,76.0
0.64448554,0.82224277,78.0
